	text	label
8848	but how can graham really fall in love with her when he sees each time as the first time ? 	0
4487	insomnia is one of the year's best films and pacino gives one of his most daring , and complicated , performances . 	1
2798	[shyamalan] turns the goose-pimple genre on its empty head and fills it with spirit , purpose and emotionally bruised characters who add up to more than body count . 	1
126	the writers , director wally wolodarsky , and all the actors should start their own coeducational fraternity : kappa rho alpha phi . 	1
2689	its scenes and sensibility are all more than familiar , but it exudes a kind of nostalgic spy-movie charm and , at the same time , is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time . 	1
3764	has just enough charm ( not to mention a sense of its own ridiculousness ) to stay afloat . 	1
6908	the government sends in an elite military task force lead by alice ( jovovich ) and rain ( rodriguez ) to contain the virus in three hours before it escapes and infects the rest of the world . 	0
5491	" "" dylan's run "" chronicles the experiences of dylan glenn , the great-grandson of emancipated slaves , as he seeks to become the first black republican from the deep south elected to congress since reconstruction . "	0
213	the title helpfully offers the most succinct review of it you'll read anywhere . 	1
8800	some will fall in love , one will change his life , another will be out for whatever and whomever she can get . 	0
3852	a subtle variation on i spit on your grave in which our purported heroine pathologically avenges a hatred for men . 	1
7907	although he has feelings on the inside , he is only able to mimic the emotions around him . 	0
7042	grace's only salvation appears to be by the guidance of her paternal grandfather reverend salo sr . ( the amazing kreskin ) . 	0
5193	his father and brother are dead for so many years . 	0
9078	blake now starts to sink into the scary , twisted world of the master where sharing , sacrifice and loyalty take on bizarre and dangerous new meanings . 	0
5921	it will definitely keep you on the edge of your seat because of the blood and gore or the good looking babes . 	0
926	formula 51 is pretty much quentin tarantino meets guy ritchie , as directed by ronny yu . however , if you like that sort of thing , as i do , you just might have some fun with the chemical imbalance of formula 51 . 	1
3796	a smart , steamy mix of road movie , coming-of-age story and political satire . 	1
5263	then there's nicole , who gets her orgasmic intimacy watching chan every night . 	0
1104	the film fits into a genre that has been overexposed , redolent of a thousand cliches , and yet remains uniquely itself , vibrant with originality . 	1
8756	a group of hard core female inmates are trained by the military . 	0
5707	one stormy night , they go to get the shoes when calvin and the shoes are struck by lightning . 	0
9220	"in "" house of 1000 corpses "" , two young couples take a misguided tour onto the back roads of america in search of a local legend known as dr . satan . "	0
8587	the military team must shut down the computer and get out , fighting their way past zombies , mutants , and the computer itself , before the virus escapes and infects the rest of the world . 	0
6628	in the end , alex unveils her secret , an act of truth , which forces this crazed cast of characters to re-examine their own lives . 	0
6766	he's dead ; and all their money is gone . 	0
156	depending upon your reaction to this movie , you may never again be able to look at a red felt sharpie pen without disgust , a thrill , or the giggles . 	1
1495	an inept , tedious spoof of '70s kung fu pictures , it contains almost enough chuckles for a three-minute sketch , and no more . 	1
1868	guaranteed to move anyone who ever shook , rattled , or rolled . 	1
4144	the sequel plays out like a flimsy excuse to give blade fans another look at wesley snipes' iconic hero doing battle with dozens of bad guys -- at once . 	1
6330	desperate for a grandchild , she's eager to see him married and spends much of her time planning introductions to suitable chinese girls for daniel . 	0
9766	certain that there's only one way to find out the truth , rachel returns to the hospital . 	0
5901	"as well as many appearances by characters for the hit television series "" mr . "	0
8256	the five main characters are 20-year-olds who are close friends and always hang out together at each others' homes and at their favorite coffeehouse . 	0
2603	 . . . captures the pain and desperation of adolescent powerlessness and humiliation with powerful intimacy . . . 	1
